Bandit,Reward,Algorithm
1,False,Epsilon-Greedy
2,True,Epsilon-Greedy
3,False,Epsilon-Greedy
4,False,Epsilon-Greedy
5,False,Epsilon-Greedy
6,False,Epsilon-Greedy
7,False,Epsilon-Greedy
8,False,Epsilon-Greedy
9,False,Epsilon-Greedy
10,False,Epsilon-Greedy
11,False,Epsilon-Greedy
12,False,Epsilon-Greedy
13,False,Epsilon-Greedy
14,False,Epsilon-Greedy
15,False,Epsilon-Greedy
16,False,Epsilon-Greedy
17,False,Epsilon-Greedy
18,True,Epsilon-Greedy
19,False,Epsilon-Greedy
20,False,Epsilon-Greedy
21,False,Epsilon-Greedy
22,False,Epsilon-Greedy
23,False,Epsilon-Greedy
24,False,Epsilon-Greedy
25,False,Epsilon-Greedy
26,False,Epsilon-Greedy
27,False,Epsilon-Greedy
28,False,Epsilon-Greedy
29,False,Epsilon-Greedy
30,False,Epsilon-Greedy
31,False,Epsilon-Greedy
32,False,Epsilon-Greedy
33,False,Epsilon-Greedy
34,False,Epsilon-Greedy
35,False,Epsilon-Greedy
36,False,Epsilon-Greedy
37,False,Epsilon-Greedy
38,False,Epsilon-Greedy
39,False,Epsilon-Greedy
40,True,Epsilon-Greedy
41,False,Epsilon-Greedy
42,True,Epsilon-Greedy
43,False,Epsilon-Greedy
44,True,Epsilon-Greedy
45,False,Epsilon-Greedy
46,False,Epsilon-Greedy
47,False,Epsilon-Greedy
48,False,Epsilon-Greedy
49,False,Epsilon-Greedy
50,False,Epsilon-Greedy
51,True,Epsilon-Greedy
52,False,Epsilon-Greedy
53,False,Epsilon-Greedy
54,False,Epsilon-Greedy
55,False,Epsilon-Greedy
56,False,Epsilon-Greedy
57,False,Epsilon-Greedy
58,False,Epsilon-Greedy
59,False,Epsilon-Greedy
60,False,Epsilon-Greedy
61,False,Epsilon-Greedy
62,True,Epsilon-Greedy
63,False,Epsilon-Greedy
64,True,Epsilon-Greedy
65,True,Epsilon-Greedy
66,False,Epsilon-Greedy
67,True,Epsilon-Greedy
68,True,Epsilon-Greedy
69,False,Epsilon-Greedy
70,False,Epsilon-Greedy
71,False,Epsilon-Greedy
72,True,Epsilon-Greedy
73,True,Epsilon-Greedy
74,True,Epsilon-Greedy
75,False,Epsilon-Greedy
76,False,Epsilon-Greedy
77,True,Epsilon-Greedy
78,True,Epsilon-Greedy
79,True,Epsilon-Greedy
80,False,Epsilon-Greedy
81,False,Epsilon-Greedy
82,False,Epsilon-Greedy
83,True,Epsilon-Greedy
84,False,Epsilon-Greedy
85,False,Epsilon-Greedy
86,True,Epsilon-Greedy
87,True,Epsilon-Greedy
88,False,Epsilon-Greedy
89,False,Epsilon-Greedy
90,True,Epsilon-Greedy
91,False,Epsilon-Greedy
92,False,Epsilon-Greedy
93,True,Epsilon-Greedy
94,False,Epsilon-Greedy
95,True,Epsilon-Greedy
96,False,Epsilon-Greedy
97,False,Epsilon-Greedy
98,False,Epsilon-Greedy
99,True,Epsilon-Greedy
100,True,Epsilon-Greedy
101,False,Epsilon-Greedy
102,False,Epsilon-Greedy
103,False,Epsilon-Greedy
104,True,Epsilon-Greedy
105,True,Epsilon-Greedy
106,False,Epsilon-Greedy
107,True,Epsilon-Greedy
108,False,Epsilon-Greedy
109,True,Epsilon-Greedy
110,True,Epsilon-Greedy
111,True,Epsilon-Greedy
112,True,Epsilon-Greedy
113,False,Epsilon-Greedy
114,True,Epsilon-Greedy
115,True,Epsilon-Greedy
116,True,Epsilon-Greedy
117,True,Epsilon-Greedy
118,True,Epsilon-Greedy
119,True,Epsilon-Greedy
120,True,Epsilon-Greedy
121,False,Epsilon-Greedy
122,True,Epsilon-Greedy
123,True,Epsilon-Greedy
124,True,Epsilon-Greedy
125,True,Epsilon-Greedy
126,True,Epsilon-Greedy
127,False,Epsilon-Greedy
128,True,Epsilon-Greedy
129,True,Epsilon-Greedy
130,True,Epsilon-Greedy
131,True,Epsilon-Greedy
132,True,Epsilon-Greedy
133,True,Epsilon-Greedy
134,True,Epsilon-Greedy
135,True,Epsilon-Greedy
136,True,Epsilon-Greedy
137,True,Epsilon-Greedy
138,False,Epsilon-Greedy
139,True,Epsilon-Greedy
140,True,Epsilon-Greedy
141,True,Epsilon-Greedy
142,True,Epsilon-Greedy
143,True,Epsilon-Greedy
144,True,Epsilon-Greedy
145,True,Epsilon-Greedy
146,True,Epsilon-Greedy
147,True,Epsilon-Greedy
148,True,Epsilon-Greedy
149,True,Epsilon-Greedy
150,True,Epsilon-Greedy
151,True,Epsilon-Greedy
152,True,Epsilon-Greedy
153,True,Epsilon-Greedy
154,True,Epsilon-Greedy
155,True,Epsilon-Greedy
156,True,Epsilon-Greedy
157,True,Epsilon-Greedy
158,False,Epsilon-Greedy
159,True,Epsilon-Greedy
160,True,Epsilon-Greedy
161,True,Epsilon-Greedy
162,True,Epsilon-Greedy
163,True,Epsilon-Greedy
164,False,Epsilon-Greedy
165,True,Epsilon-Greedy
166,True,Epsilon-Greedy
167,False,Epsilon-Greedy
168,True,Epsilon-Greedy
169,True,Epsilon-Greedy
170,False,Epsilon-Greedy
171,True,Epsilon-Greedy
172,True,Epsilon-Greedy
173,True,Epsilon-Greedy
174,True,Epsilon-Greedy
175,True,Epsilon-Greedy
176,True,Epsilon-Greedy
177,False,Epsilon-Greedy
178,True,Epsilon-Greedy
179,True,Epsilon-Greedy
180,True,Epsilon-Greedy
181,False,Epsilon-Greedy
182,False,Epsilon-Greedy
183,False,Epsilon-Greedy
184,True,Epsilon-Greedy
185,True,Epsilon-Greedy
186,True,Epsilon-Greedy
187,False,Epsilon-Greedy
188,False,Epsilon-Greedy
189,True,Epsilon-Greedy
190,False,Epsilon-Greedy
191,True,Epsilon-Greedy
192,True,Epsilon-Greedy
193,True,Epsilon-Greedy
194,True,Epsilon-Greedy
195,True,Epsilon-Greedy
196,True,Epsilon-Greedy
197,False,Epsilon-Greedy
198,True,Epsilon-Greedy
199,True,Epsilon-Greedy
200,True,Epsilon-Greedy
201,True,Epsilon-Greedy
202,True,Epsilon-Greedy
203,True,Epsilon-Greedy
204,True,Epsilon-Greedy
205,True,Epsilon-Greedy
206,True,Epsilon-Greedy
207,True,Epsilon-Greedy
208,False,Epsilon-Greedy
209,True,Epsilon-Greedy
210,True,Epsilon-Greedy
211,False,Epsilon-Greedy
212,True,Epsilon-Greedy
213,True,Epsilon-Greedy
214,True,Epsilon-Greedy
215,True,Epsilon-Greedy
216,True,Epsilon-Greedy
217,True,Epsilon-Greedy
218,True,Epsilon-Greedy
219,True,Epsilon-Greedy
220,True,Epsilon-Greedy
221,True,Epsilon-Greedy
222,True,Epsilon-Greedy
223,True,Epsilon-Greedy
224,True,Epsilon-Greedy
225,True,Epsilon-Greedy
226,True,Epsilon-Greedy
227,True,Epsilon-Greedy
228,True,Epsilon-Greedy
229,True,Epsilon-Greedy
230,True,Epsilon-Greedy
231,False,Epsilon-Greedy
232,True,Epsilon-Greedy
233,True,Epsilon-Greedy
234,True,Epsilon-Greedy
235,True,Epsilon-Greedy
236,True,Epsilon-Greedy
237,True,Epsilon-Greedy
238,True,Epsilon-Greedy
239,True,Epsilon-Greedy
240,True,Epsilon-Greedy
241,True,Epsilon-Greedy
242,True,Epsilon-Greedy
243,False,Epsilon-Greedy
244,True,Epsilon-Greedy
245,True,Epsilon-Greedy
246,True,Epsilon-Greedy
247,True,Epsilon-Greedy
248,True,Epsilon-Greedy
249,True,Epsilon-Greedy
250,True,Epsilon-Greedy
251,True,Epsilon-Greedy
252,True,Epsilon-Greedy
253,False,Epsilon-Greedy
254,True,Epsilon-Greedy
255,True,Epsilon-Greedy
256,False,Epsilon-Greedy
257,False,Epsilon-Greedy
258,True,Epsilon-Greedy
259,True,Epsilon-Greedy
260,True,Epsilon-Greedy
261,False,Epsilon-Greedy
262,False,Epsilon-Greedy
263,False,Epsilon-Greedy
264,False,Epsilon-Greedy
265,True,Epsilon-Greedy
266,True,Epsilon-Greedy
267,True,Epsilon-Greedy
268,True,Epsilon-Greedy
269,True,Epsilon-Greedy
270,True,Epsilon-Greedy
271,True,Epsilon-Greedy
272,True,Epsilon-Greedy
273,True,Epsilon-Greedy
274,True,Epsilon-Greedy
275,True,Epsilon-Greedy
276,True,Epsilon-Greedy
277,True,Epsilon-Greedy
278,True,Epsilon-Greedy
279,True,Epsilon-Greedy
280,True,Epsilon-Greedy
281,True,Epsilon-Greedy
282,True,Epsilon-Greedy
283,True,Epsilon-Greedy
284,True,Epsilon-Greedy
285,True,Epsilon-Greedy
286,True,Epsilon-Greedy
287,True,Epsilon-Greedy
288,True,Epsilon-Greedy
289,True,Epsilon-Greedy
290,True,Epsilon-Greedy
291,True,Epsilon-Greedy
292,True,Epsilon-Greedy
293,True,Epsilon-Greedy
294,True,Epsilon-Greedy
295,True,Epsilon-Greedy
296,True,Epsilon-Greedy
297,True,Epsilon-Greedy
298,True,Epsilon-Greedy
299,True,Epsilon-Greedy
300,False,Epsilon-Greedy
301,True,Epsilon-Greedy
302,True,Epsilon-Greedy
303,True,Epsilon-Greedy
304,True,Epsilon-Greedy
305,True,Epsilon-Greedy
306,True,Epsilon-Greedy
307,False,Epsilon-Greedy
308,True,Epsilon-Greedy
309,True,Epsilon-Greedy
310,True,Epsilon-Greedy
311,True,Epsilon-Greedy
312,True,Epsilon-Greedy
313,True,Epsilon-Greedy
314,True,Epsilon-Greedy
315,True,Epsilon-Greedy
316,True,Epsilon-Greedy
317,True,Epsilon-Greedy
318,True,Epsilon-Greedy
319,False,Epsilon-Greedy
320,False,Epsilon-Greedy
321,True,Epsilon-Greedy
322,True,Epsilon-Greedy
323,True,Epsilon-Greedy
324,True,Epsilon-Greedy
325,True,Epsilon-Greedy
326,True,Epsilon-Greedy
