Bandit,Reward,Algorithm
1,False,Thompson Sampling
2,False,Thompson Sampling
3,False,Thompson Sampling
4,True,Thompson Sampling
5,False,Thompson Sampling
6,True,Thompson Sampling
7,False,Thompson Sampling
8,False,Thompson Sampling
9,True,Thompson Sampling
10,True,Thompson Sampling
11,False,Thompson Sampling
12,False,Thompson Sampling
13,True,Thompson Sampling
14,True,Thompson Sampling
15,False,Thompson Sampling
16,True,Thompson Sampling
17,True,Thompson Sampling
18,False,Thompson Sampling
19,True,Thompson Sampling
20,True,Thompson Sampling
21,True,Thompson Sampling
22,True,Thompson Sampling
23,True,Thompson Sampling
24,True,Thompson Sampling
25,True,Thompson Sampling
26,True,Thompson Sampling
27,False,Thompson Sampling
28,True,Thompson Sampling
29,True,Thompson Sampling
30,True,Thompson Sampling
31,True,Thompson Sampling
32,True,Thompson Sampling
33,True,Thompson Sampling
34,False,Thompson Sampling
35,False,Thompson Sampling
36,True,Thompson Sampling
37,True,Thompson Sampling
38,True,Thompson Sampling
39,True,Thompson Sampling
40,False,Thompson Sampling
41,True,Thompson Sampling
42,True,Thompson Sampling
43,True,Thompson Sampling
44,True,Thompson Sampling
45,True,Thompson Sampling
46,True,Thompson Sampling
47,True,Thompson Sampling
48,True,Thompson Sampling
49,True,Thompson Sampling
50,True,Thompson Sampling
51,True,Thompson Sampling
52,True,Thompson Sampling
53,True,Thompson Sampling
54,True,Thompson Sampling
55,True,Thompson Sampling
56,True,Thompson Sampling
57,True,Thompson Sampling
58,True,Thompson Sampling
59,True,Thompson Sampling
60,True,Thompson Sampling
61,True,Thompson Sampling
62,True,Thompson Sampling
63,True,Thompson Sampling
64,True,Thompson Sampling
65,True,Thompson Sampling
66,True,Thompson Sampling
67,True,Thompson Sampling
68,True,Thompson Sampling
69,False,Thompson Sampling
70,True,Thompson Sampling
71,True,Thompson Sampling
72,True,Thompson Sampling
73,True,Thompson Sampling
74,True,Thompson Sampling
75,True,Thompson Sampling
76,False,Thompson Sampling
77,True,Thompson Sampling
78,True,Thompson Sampling
79,True,Thompson Sampling
80,True,Thompson Sampling
81,True,Thompson Sampling
82,True,Thompson Sampling
83,True,Thompson Sampling
84,True,Thompson Sampling
85,True,Thompson Sampling
86,True,Thompson Sampling
87,True,Thompson Sampling
88,True,Thompson Sampling
89,True,Thompson Sampling
90,True,Thompson Sampling
91,True,Thompson Sampling
92,True,Thompson Sampling
93,True,Thompson Sampling
94,True,Thompson Sampling
95,True,Thompson Sampling
96,True,Thompson Sampling
97,True,Thompson Sampling
98,True,Thompson Sampling
99,True,Thompson Sampling
100,True,Thompson Sampling
101,True,Thompson Sampling
102,True,Thompson Sampling
103,True,Thompson Sampling
104,True,Thompson Sampling
105,True,Thompson Sampling
106,True,Thompson Sampling
107,True,Thompson Sampling
108,True,Thompson Sampling
109,True,Thompson Sampling
110,True,Thompson Sampling
111,True,Thompson Sampling
112,True,Thompson Sampling
113,False,Thompson Sampling
114,True,Thompson Sampling
115,True,Thompson Sampling
116,True,Thompson Sampling
117,True,Thompson Sampling
118,True,Thompson Sampling
119,True,Thompson Sampling
120,True,Thompson Sampling
121,True,Thompson Sampling
122,True,Thompson Sampling
123,True,Thompson Sampling
124,True,Thompson Sampling
125,True,Thompson Sampling
126,True,Thompson Sampling
127,True,Thompson Sampling
128,True,Thompson Sampling
129,True,Thompson Sampling
130,True,Thompson Sampling
131,True,Thompson Sampling
132,True,Thompson Sampling
133,True,Thompson Sampling
134,True,Thompson Sampling
135,True,Thompson Sampling
136,True,Thompson Sampling
137,True,Thompson Sampling
138,True,Thompson Sampling
139,True,Thompson Sampling
140,True,Thompson Sampling
141,False,Thompson Sampling
142,True,Thompson Sampling
143,True,Thompson Sampling
144,True,Thompson Sampling
145,True,Thompson Sampling
146,True,Thompson Sampling
147,True,Thompson Sampling
148,True,Thompson Sampling
149,True,Thompson Sampling
150,True,Thompson Sampling
151,True,Thompson Sampling
152,True,Thompson Sampling
153,True,Thompson Sampling
154,True,Thompson Sampling
155,True,Thompson Sampling
156,True,Thompson Sampling
157,True,Thompson Sampling
158,True,Thompson Sampling
159,True,Thompson Sampling
160,True,Thompson Sampling
161,False,Thompson Sampling
162,True,Thompson Sampling
163,True,Thompson Sampling
164,True,Thompson Sampling
165,True,Thompson Sampling
166,True,Thompson Sampling
167,False,Thompson Sampling
168,True,Thompson Sampling
169,True,Thompson Sampling
170,True,Thompson Sampling
171,True,Thompson Sampling
172,True,Thompson Sampling
173,False,Thompson Sampling
174,True,Thompson Sampling
175,False,Thompson Sampling
176,False,Thompson Sampling
177,True,Thompson Sampling
178,True,Thompson Sampling
179,True,Thompson Sampling
180,True,Thompson Sampling
181,False,Thompson Sampling
182,False,Thompson Sampling
183,True,Thompson Sampling
184,True,Thompson Sampling
185,True,Thompson Sampling
186,True,Thompson Sampling
187,True,Thompson Sampling
188,True,Thompson Sampling
189,True,Thompson Sampling
190,True,Thompson Sampling
191,True,Thompson Sampling
192,True,Thompson Sampling
193,True,Thompson Sampling
194,True,Thompson Sampling
195,True,Thompson Sampling
196,True,Thompson Sampling
197,True,Thompson Sampling
198,False,Thompson Sampling
199,True,Thompson Sampling
200,True,Thompson Sampling
201,True,Thompson Sampling
202,True,Thompson Sampling
203,True,Thompson Sampling
204,True,Thompson Sampling
205,True,Thompson Sampling
206,True,Thompson Sampling
207,True,Thompson Sampling
208,True,Thompson Sampling
209,True,Thompson Sampling
210,True,Thompson Sampling
211,True,Thompson Sampling
212,True,Thompson Sampling
213,True,Thompson Sampling
214,True,Thompson Sampling
215,True,Thompson Sampling
216,True,Thompson Sampling
217,True,Thompson Sampling
218,True,Thompson Sampling
219,True,Thompson Sampling
220,True,Thompson Sampling
221,True,Thompson Sampling
222,True,Thompson Sampling
223,True,Thompson Sampling
224,True,Thompson Sampling
225,True,Thompson Sampling
226,True,Thompson Sampling
227,True,Thompson Sampling
228,True,Thompson Sampling
229,True,Thompson Sampling
230,False,Thompson Sampling
231,True,Thompson Sampling
232,True,Thompson Sampling
233,True,Thompson Sampling
234,True,Thompson Sampling
235,True,Thompson Sampling
236,True,Thompson Sampling
237,True,Thompson Sampling
238,True,Thompson Sampling
239,True,Thompson Sampling
240,False,Thompson Sampling
241,True,Thompson Sampling
242,True,Thompson Sampling
243,True,Thompson Sampling
244,True,Thompson Sampling
245,True,Thompson Sampling
246,False,Thompson Sampling
247,True,Thompson Sampling
248,True,Thompson Sampling
249,True,Thompson Sampling
250,True,Thompson Sampling
251,True,Thompson Sampling
252,True,Thompson Sampling
253,True,Thompson Sampling
254,True,Thompson Sampling
255,False,Thompson Sampling
256,True,Thompson Sampling
257,True,Thompson Sampling
258,True,Thompson Sampling
259,True,Thompson Sampling
260,True,Thompson Sampling
261,True,Thompson Sampling
262,True,Thompson Sampling
263,True,Thompson Sampling
264,True,Thompson Sampling
265,True,Thompson Sampling
266,True,Thompson Sampling
267,True,Thompson Sampling
268,False,Thompson Sampling
269,True,Thompson Sampling
270,True,Thompson Sampling
271,False,Thompson Sampling
272,True,Thompson Sampling
273,True,Thompson Sampling
274,True,Thompson Sampling
275,True,Thompson Sampling
276,True,Thompson Sampling
277,True,Thompson Sampling
278,True,Thompson Sampling
279,True,Thompson Sampling
280,True,Thompson Sampling
281,True,Thompson Sampling
282,True,Thompson Sampling
283,True,Thompson Sampling
284,True,Thompson Sampling
285,True,Thompson Sampling
286,True,Thompson Sampling
287,False,Thompson Sampling
288,True,Thompson Sampling
289,True,Thompson Sampling
290,True,Thompson Sampling
291,True,Thompson Sampling
292,True,Thompson Sampling
293,True,Thompson Sampling
294,True,Thompson Sampling
295,True,Thompson Sampling
296,True,Thompson Sampling
297,True,Thompson Sampling
298,True,Thompson Sampling
299,True,Thompson Sampling
300,False,Thompson Sampling
301,True,Thompson Sampling
302,True,Thompson Sampling
303,False,Thompson Sampling
304,False,Thompson Sampling
305,True,Thompson Sampling
306,True,Thompson Sampling
307,True,Thompson Sampling
308,True,Thompson Sampling
309,True,Thompson Sampling
310,True,Thompson Sampling
311,True,Thompson Sampling
312,True,Thompson Sampling
313,True,Thompson Sampling
314,True,Thompson Sampling
315,True,Thompson Sampling
316,True,Thompson Sampling
317,True,Thompson Sampling
318,True,Thompson Sampling
319,True,Thompson Sampling
320,True,Thompson Sampling
321,False,Thompson Sampling
322,True,Thompson Sampling
323,True,Thompson Sampling
324,True,Thompson Sampling
325,True,Thompson Sampling
326,True,Thompson Sampling
327,True,Thompson Sampling
328,True,Thompson Sampling
329,True,Thompson Sampling
330,False,Thompson Sampling
331,True,Thompson Sampling
332,True,Thompson Sampling
333,True,Thompson Sampling
334,False,Thompson Sampling
335,True,Thompson Sampling
336,True,Thompson Sampling
337,True,Thompson Sampling
338,True,Thompson Sampling
339,True,Thompson Sampling
340,True,Thompson Sampling
341,True,Thompson Sampling
342,True,Thompson Sampling
343,True,Thompson Sampling
344,True,Thompson Sampling
345,True,Thompson Sampling
346,True,Thompson Sampling
347,True,Thompson Sampling
348,True,Thompson Sampling
349,True,Thompson Sampling
350,True,Thompson Sampling
351,True,Thompson Sampling
352,True,Thompson Sampling
353,True,Thompson Sampling
354,True,Thompson Sampling
355,True,Thompson Sampling
356,True,Thompson Sampling
357,True,Thompson Sampling
358,True,Thompson Sampling
359,True,Thompson Sampling
360,True,Thompson Sampling
361,True,Thompson Sampling
362,True,Thompson Sampling
363,True,Thompson Sampling
364,True,Thompson Sampling
365,True,Thompson Sampling
366,True,Thompson Sampling
367,True,Thompson Sampling
368,True,Thompson Sampling
369,True,Thompson Sampling
370,False,Thompson Sampling
371,True,Thompson Sampling
372,True,Thompson Sampling
373,False,Thompson Sampling
374,True,Thompson Sampling
375,True,Thompson Sampling
376,True,Thompson Sampling
377,True,Thompson Sampling
378,True,Thompson Sampling
379,True,Thompson Sampling
380,True,Thompson Sampling
381,True,Thompson Sampling
382,True,Thompson Sampling
383,True,Thompson Sampling
384,True,Thompson Sampling
385,True,Thompson Sampling
386,True,Thompson Sampling
387,True,Thompson Sampling
388,True,Thompson Sampling
389,True,Thompson Sampling
390,True,Thompson Sampling
391,True,Thompson Sampling
392,True,Thompson Sampling
393,True,Thompson Sampling
394,True,Thompson Sampling
395,True,Thompson Sampling
396,True,Thompson Sampling
397,True,Thompson Sampling
398,True,Thompson Sampling
399,True,Thompson Sampling
400,True,Thompson Sampling
401,True,Thompson Sampling
402,True,Thompson Sampling
403,True,Thompson Sampling
404,True,Thompson Sampling
405,True,Thompson Sampling
406,True,Thompson Sampling
407,True,Thompson Sampling
408,True,Thompson Sampling
409,True,Thompson Sampling
410,True,Thompson Sampling
411,True,Thompson Sampling
412,True,Thompson Sampling
413,True,Thompson Sampling
414,True,Thompson Sampling
415,True,Thompson Sampling
416,True,Thompson Sampling
417,True,Thompson Sampling
418,True,Thompson Sampling
419,True,Thompson Sampling
420,True,Thompson Sampling
421,True,Thompson Sampling
422,True,Thompson Sampling
423,True,Thompson Sampling
424,True,Thompson Sampling
425,True,Thompson Sampling
426,True,Thompson Sampling
427,True,Thompson Sampling
428,True,Thompson Sampling
429,True,Thompson Sampling
430,True,Thompson Sampling
431,True,Thompson Sampling
432,True,Thompson Sampling
433,True,Thompson Sampling
434,True,Thompson Sampling
435,True,Thompson Sampling
436,True,Thompson Sampling
437,True,Thompson Sampling
438,True,Thompson Sampling
439,True,Thompson Sampling
440,True,Thompson Sampling
441,True,Thompson Sampling
442,True,Thompson Sampling
443,True,Thompson Sampling
444,False,Thompson Sampling
445,True,Thompson Sampling
446,True,Thompson Sampling
447,False,Thompson Sampling
448,True,Thompson Sampling
449,True,Thompson Sampling
450,True,Thompson Sampling
451,True,Thompson Sampling
452,True,Thompson Sampling
453,False,Thompson Sampling
454,False,Thompson Sampling
455,True,Thompson Sampling
456,True,Thompson Sampling
457,True,Thompson Sampling
458,False,Thompson Sampling
459,True,Thompson Sampling
460,False,Thompson Sampling
461,True,Thompson Sampling
462,True,Thompson Sampling
463,True,Thompson Sampling
464,True,Thompson Sampling
465,True,Thompson Sampling
466,True,Thompson Sampling
467,True,Thompson Sampling
468,True,Thompson Sampling
469,True,Thompson Sampling
470,True,Thompson Sampling
471,True,Thompson Sampling
472,True,Thompson Sampling
473,True,Thompson Sampling
474,True,Thompson Sampling
475,True,Thompson Sampling
476,True,Thompson Sampling
477,True,Thompson Sampling
478,True,Thompson Sampling
479,True,Thompson Sampling
480,False,Thompson Sampling
481,True,Thompson Sampling
482,True,Thompson Sampling
483,True,Thompson Sampling
484,True,Thompson Sampling
485,True,Thompson Sampling
486,False,Thompson Sampling
487,False,Thompson Sampling
488,True,Thompson Sampling
489,False,Thompson Sampling
490,True,Thompson Sampling
491,True,Thompson Sampling
492,True,Thompson Sampling
493,True,Thompson Sampling
494,True,Thompson Sampling
495,True,Thompson Sampling
496,True,Thompson Sampling
497,True,Thompson Sampling
498,True,Thompson Sampling
499,True,Thompson Sampling
500,True,Thompson Sampling
501,True,Thompson Sampling
502,True,Thompson Sampling
503,True,Thompson Sampling
504,True,Thompson Sampling
505,True,Thompson Sampling
506,True,Thompson Sampling
507,True,Thompson Sampling
508,True,Thompson Sampling
509,True,Thompson Sampling
510,True,Thompson Sampling
511,False,Thompson Sampling
512,True,Thompson Sampling
513,True,Thompson Sampling
514,True,Thompson Sampling
515,True,Thompson Sampling
516,True,Thompson Sampling
517,True,Thompson Sampling
518,True,Thompson Sampling
519,False,Thompson Sampling
520,True,Thompson Sampling
521,True,Thompson Sampling
522,False,Thompson Sampling
523,False,Thompson Sampling
524,True,Thompson Sampling
525,True,Thompson Sampling
526,True,Thompson Sampling
527,True,Thompson Sampling
528,True,Thompson Sampling
529,False,Thompson Sampling
530,True,Thompson Sampling
531,True,Thompson Sampling
532,True,Thompson Sampling
533,True,Thompson Sampling
534,True,Thompson Sampling
535,True,Thompson Sampling
536,True,Thompson Sampling
537,True,Thompson Sampling
538,True,Thompson Sampling
539,True,Thompson Sampling
540,True,Thompson Sampling
541,True,Thompson Sampling
542,True,Thompson Sampling
543,True,Thompson Sampling
544,False,Thompson Sampling
545,True,Thompson Sampling
546,True,Thompson Sampling
547,True,Thompson Sampling
548,False,Thompson Sampling
549,True,Thompson Sampling
550,True,Thompson Sampling
551,True,Thompson Sampling
552,True,Thompson Sampling
553,True,Thompson Sampling
554,True,Thompson Sampling
555,True,Thompson Sampling
556,True,Thompson Sampling
557,True,Thompson Sampling
558,True,Thompson Sampling
559,True,Thompson Sampling
560,True,Thompson Sampling
561,True,Thompson Sampling
562,True,Thompson Sampling
563,True,Thompson Sampling
564,True,Thompson Sampling
565,True,Thompson Sampling
566,True,Thompson Sampling
567,True,Thompson Sampling
568,True,Thompson Sampling
569,True,Thompson Sampling
570,True,Thompson Sampling
571,True,Thompson Sampling
572,True,Thompson Sampling
573,True,Thompson Sampling
574,False,Thompson Sampling
575,True,Thompson Sampling
576,True,Thompson Sampling
577,True,Thompson Sampling
578,True,Thompson Sampling
579,True,Thompson Sampling
580,True,Thompson Sampling
581,True,Thompson Sampling
582,True,Thompson Sampling
583,True,Thompson Sampling
584,True,Thompson Sampling
585,True,Thompson Sampling
586,True,Thompson Sampling
587,True,Thompson Sampling
588,True,Thompson Sampling
589,True,Thompson Sampling
590,True,Thompson Sampling
591,True,Thompson Sampling
592,True,Thompson Sampling
593,True,Thompson Sampling
594,True,Thompson Sampling
595,True,Thompson Sampling
596,True,Thompson Sampling
597,True,Thompson Sampling
598,True,Thompson Sampling
599,True,Thompson Sampling
600,True,Thompson Sampling
601,True,Thompson Sampling
602,True,Thompson Sampling
603,True,Thompson Sampling
604,False,Thompson Sampling
605,True,Thompson Sampling
606,True,Thompson Sampling
607,True,Thompson Sampling
608,True,Thompson Sampling
609,True,Thompson Sampling
610,True,Thompson Sampling
611,True,Thompson Sampling
612,True,Thompson Sampling
613,True,Thompson Sampling
614,True,Thompson Sampling
615,True,Thompson Sampling
616,True,Thompson Sampling
617,True,Thompson Sampling
618,False,Thompson Sampling
619,True,Thompson Sampling
620,True,Thompson Sampling
621,True,Thompson Sampling
622,True,Thompson Sampling
623,True,Thompson Sampling
624,True,Thompson Sampling
625,True,Thompson Sampling
626,True,Thompson Sampling
627,True,Thompson Sampling
628,True,Thompson Sampling
629,True,Thompson Sampling
630,True,Thompson Sampling
631,True,Thompson Sampling
632,True,Thompson Sampling
633,True,Thompson Sampling
634,True,Thompson Sampling
635,True,Thompson Sampling
636,True,Thompson Sampling
637,True,Thompson Sampling
638,True,Thompson Sampling
639,True,Thompson Sampling
640,True,Thompson Sampling
641,True,Thompson Sampling
642,False,Thompson Sampling
643,True,Thompson Sampling
644,True,Thompson Sampling
645,True,Thompson Sampling
646,True,Thompson Sampling
647,True,Thompson Sampling
648,True,Thompson Sampling
649,True,Thompson Sampling
650,True,Thompson Sampling
651,False,Thompson Sampling
652,False,Thompson Sampling
653,True,Thompson Sampling
654,True,Thompson Sampling
655,True,Thompson Sampling
656,True,Thompson Sampling
657,True,Thompson Sampling
658,True,Thompson Sampling
659,True,Thompson Sampling
660,True,Thompson Sampling
661,True,Thompson Sampling
662,True,Thompson Sampling
663,True,Thompson Sampling
664,True,Thompson Sampling
665,True,Thompson Sampling
666,True,Thompson Sampling
667,True,Thompson Sampling
668,True,Thompson Sampling
669,True,Thompson Sampling
670,True,Thompson Sampling
671,True,Thompson Sampling
672,True,Thompson Sampling
673,True,Thompson Sampling
674,True,Thompson Sampling
675,True,Thompson Sampling
676,True,Thompson Sampling
677,True,Thompson Sampling
678,True,Thompson Sampling
679,True,Thompson Sampling
680,False,Thompson Sampling
681,True,Thompson Sampling
682,True,Thompson Sampling
683,True,Thompson Sampling
684,True,Thompson Sampling
685,True,Thompson Sampling
686,True,Thompson Sampling
687,True,Thompson Sampling
688,True,Thompson Sampling
689,True,Thompson Sampling
690,True,Thompson Sampling
691,True,Thompson Sampling
692,True,Thompson Sampling
693,True,Thompson Sampling
694,True,Thompson Sampling
695,True,Thompson Sampling
696,True,Thompson Sampling
697,True,Thompson Sampling
698,True,Thompson Sampling
699,True,Thompson Sampling
700,True,Thompson Sampling
701,True,Thompson Sampling
702,False,Thompson Sampling
703,True,Thompson Sampling
704,True,Thompson Sampling
705,True,Thompson Sampling
706,True,Thompson Sampling
707,True,Thompson Sampling
708,True,Thompson Sampling
709,True,Thompson Sampling
710,True,Thompson Sampling
711,True,Thompson Sampling
712,True,Thompson Sampling
713,False,Thompson Sampling
714,True,Thompson Sampling
715,True,Thompson Sampling
716,True,Thompson Sampling
717,True,Thompson Sampling
718,True,Thompson Sampling
719,True,Thompson Sampling
720,True,Thompson Sampling
721,False,Thompson Sampling
722,True,Thompson Sampling
723,True,Thompson Sampling
724,True,Thompson Sampling
725,True,Thompson Sampling
726,True,Thompson Sampling
727,True,Thompson Sampling
728,True,Thompson Sampling
729,True,Thompson Sampling
730,True,Thompson Sampling
731,True,Thompson Sampling
732,True,Thompson Sampling
733,True,Thompson Sampling
734,True,Thompson Sampling
735,False,Thompson Sampling
736,True,Thompson Sampling
737,True,Thompson Sampling
738,True,Thompson Sampling
739,True,Thompson Sampling
740,True,Thompson Sampling
741,False,Thompson Sampling
742,True,Thompson Sampling
743,True,Thompson Sampling
744,True,Thompson Sampling
745,True,Thompson Sampling
746,True,Thompson Sampling
747,True,Thompson Sampling
748,True,Thompson Sampling
749,True,Thompson Sampling
750,True,Thompson Sampling
751,True,Thompson Sampling
752,True,Thompson Sampling
753,True,Thompson Sampling
754,True,Thompson Sampling
755,True,Thompson Sampling
756,True,Thompson Sampling
757,True,Thompson Sampling
758,True,Thompson Sampling
759,True,Thompson Sampling
760,True,Thompson Sampling
761,True,Thompson Sampling
762,True,Thompson Sampling
763,True,Thompson Sampling
764,True,Thompson Sampling
765,True,Thompson Sampling
766,True,Thompson Sampling
767,True,Thompson Sampling
768,True,Thompson Sampling
769,True,Thompson Sampling
770,True,Thompson Sampling
771,True,Thompson Sampling
772,True,Thompson Sampling
773,True,Thompson Sampling
774,False,Thompson Sampling
775,True,Thompson Sampling
776,True,Thompson Sampling
777,True,Thompson Sampling
778,True,Thompson Sampling
779,False,Thompson Sampling
780,True,Thompson Sampling
781,True,Thompson Sampling
782,True,Thompson Sampling
783,True,Thompson Sampling
784,True,Thompson Sampling
785,True,Thompson Sampling
786,True,Thompson Sampling
787,True,Thompson Sampling
788,True,Thompson Sampling
789,True,Thompson Sampling
790,True,Thompson Sampling
791,True,Thompson Sampling
792,True,Thompson Sampling
793,True,Thompson Sampling
794,True,Thompson Sampling
795,True,Thompson Sampling
796,True,Thompson Sampling
797,True,Thompson Sampling
798,True,Thompson Sampling
799,True,Thompson Sampling
800,True,Thompson Sampling
801,True,Thompson Sampling
802,True,Thompson Sampling
803,True,Thompson Sampling
804,True,Thompson Sampling
805,False,Thompson Sampling
806,False,Thompson Sampling
807,True,Thompson Sampling
808,False,Thompson Sampling
809,True,Thompson Sampling
810,True,Thompson Sampling
811,True,Thompson Sampling
812,True,Thompson Sampling
813,True,Thompson Sampling
814,True,Thompson Sampling
815,True,Thompson Sampling
816,True,Thompson Sampling
817,True,Thompson Sampling
818,True,Thompson Sampling
819,True,Thompson Sampling
820,False,Thompson Sampling
821,True,Thompson Sampling
822,True,Thompson Sampling
823,True,Thompson Sampling
824,True,Thompson Sampling
825,True,Thompson Sampling
826,True,Thompson Sampling
827,True,Thompson Sampling
828,True,Thompson Sampling
829,False,Thompson Sampling
830,True,Thompson Sampling
831,True,Thompson Sampling
832,True,Thompson Sampling
833,True,Thompson Sampling
834,True,Thompson Sampling
835,True,Thompson Sampling
836,True,Thompson Sampling
837,True,Thompson Sampling
838,True,Thompson Sampling
839,True,Thompson Sampling
840,False,Thompson Sampling
841,True,Thompson Sampling
842,True,Thompson Sampling
843,True,Thompson Sampling
844,True,Thompson Sampling
845,True,Thompson Sampling
846,True,Thompson Sampling
847,True,Thompson Sampling
848,False,Thompson Sampling
849,True,Thompson Sampling
850,False,Thompson Sampling
851,True,Thompson Sampling
852,True,Thompson Sampling
853,True,Thompson Sampling
854,True,Thompson Sampling
855,True,Thompson Sampling
856,True,Thompson Sampling
857,True,Thompson Sampling
858,True,Thompson Sampling
859,True,Thompson Sampling
860,True,Thompson Sampling
861,True,Thompson Sampling
862,False,Thompson Sampling
863,True,Thompson Sampling
864,True,Thompson Sampling
865,True,Thompson Sampling
866,False,Thompson Sampling
867,True,Thompson Sampling
868,False,Thompson Sampling
869,True,Thompson Sampling
870,True,Thompson Sampling
871,True,Thompson Sampling
872,True,Thompson Sampling
873,True,Thompson Sampling
874,True,Thompson Sampling
875,True,Thompson Sampling
876,True,Thompson Sampling
877,True,Thompson Sampling
878,True,Thompson Sampling
879,True,Thompson Sampling
880,True,Thompson Sampling
881,True,Thompson Sampling
